文件名,作用,实现网页必须提供的数据,对应非CSV素材
01_分支基础信息.csv,页面基本信息和抽屉注册,"分支代码|根分支ID|显示名称|网页标题|主标题|首页标题第一行|首页标题第二行|时间轴起点BP|视野经度最小值|视野经度最大值|视野纬度最小值|视野纬度最大值|底图文件名|背景叠色文件名",
02_区域多边形.csv,地图区域多边形,"区域ID|区域名称|多边形JSON",
03_主干分支.csv,谱系树主干和地图主分支,"分支ID|分支名称|年代BP|父分支ID|层级|中心纬度|中心经度|颜色|样本ID列表JSON",
04_样本点.csv,样本点和树注释来源,"样本ID|单倍群|共祖时间TMRCA|终末分支|地点|纬度|经度|部族|样本年代|分支链JSON",
05_树标签配置.csv,树标签强制显示与注释,"分支ID|注释文字|是否树上注释|是否强制显示|标签横向偏移|标签纵向偏移",
06_地图覆盖配置.csv,地图出现时间和椭圆范围,"分支ID|地图出现时间BP|部族标签|部族纬度|部族经度|ID标签纬度|ID标签经度|椭圆中心经度|椭圆中心纬度|椭圆半径X|椭圆半径Y|地图填充色|地图透明度|是否地图隐藏",
07_地图额外分支.csv,地图专用分支,"分支ID|分支名称|父分支ID|年代BP|地图出现时间BP|中心纬度|中心经度|颜色|部族标签|椭圆中心经度|椭圆中心纬度|椭圆半径X|椭圆半径Y",
08_背景分区.csv,地图阶段背景带,"背景区ID|地图出现时间BP|填充色RGBA|多边形JSON|排序值",
09_扩散图片配置.csv,扩散PNG时序与叠放层级,"图片文件名|挂靠分支ID|激活时间BP|叠放顺序",图/*.png
10_首页重点分支.csv,首页五部族卡片与导线布局,"分支ID|显示顺序|标注侧|标注槽位|标注层|桑基图顶部位置|桑基图横向偏移",
素材文件,网页必须同时上传的非CSV资源,"新版地图.png|背景叠色.png|图/*.png","文件名必须与 01_分支基础信息.csv 和 09_扩散图片配置.csv 中填写的值一致"
